VF	Shortbred VF family	Description
46	VFDB|VFG033286(gi_386642063)	outer membrane usher protein FimD [Type I fimbriae (CVF426)] [Escherichia coli ABU 83972]
47	VFDB|VFG033307(gi_410482684)	fimbrial-like adhesin protein [Type I fimbriae (CVF426)] [Escherichia coli O104:H4 str. 2009EL-2050]
48	VFDB|VFG033987(gi_386640481)	aerobactin siderophore biosynthesis protein IucB [Aerobactin siderophore (CVF457)] [Escherichia coli ABU 83972]
49	VFDB|VFG034000(gi_218701706)_Victors|gi|218701706|ref|YP_002409335_1|	aerobactin siderophore biosynthesis protein [Aerobactin siderophore (CVF457)] [Escherichia coli O7:K1 str. IAI39]
50	VFDB|VFG034013(gi_218699464)	salicylate synthase Irp9 [Yersiniabactin siderophore (CVF458)] [Escherichia coli O7:K1 str. IAI39]
51	VFDB|VFG034033(gi_218705468)_VFDB|VFG002749(gi_22126279)_virulence|21011|vfid|46609|vsiid|67446|ssid|hypothetical	NA
52	VFDB|VFG034048(gi_386629708)	ABC transporter [Yersiniabactin siderophore (CVF458)] [Escherichia coli str. clone D i2]
53	VFDB|VFG034083(gi_386619565)	putative AraC type regulator protein [Yersiniabactin siderophore (CVF458)] [Escherichia coli NA114]
54	VFDB|VFG034227(gi_218534496)	SitC protein, iron transport protein, inner membrane component [Iron/manganese transport (CVF459)] [Escherichia coli O45:K1:H7 str. S88]
55	VFDB|VFG034272(gi_386641111)_Victors|gi|170681293|ref|YP_001745768_1|	outer membrane hemin receptor ChuA [Heme uptake (CVF460)] [Escherichia coli ABU 83972]
56	VFDB|VFG034307(gi_218702268)	coproporphyrinogen III oxidase [Heme uptake (CVF460)] [Escherichia coli O7:K1 str. IAI39]
57	VFDB|VFG034342(gi_387609229)	hypothetical protein [Heme uptake (CVF460)] [Escherichia coli O44:H18 042]
58	VFDB|VFG034392(gi_157156152)	fimbrillin MatA [E. coli common pilus (ECP) (CVF625)] [Escherichia coli E24377A]
59	VFDB|VFG034472(gi_386627881)	hypothetical protein [E. coli common pilus (ECP) (CVF625)] [Escherichia coli str. clone D i2]
60	VFDB|VFG034497(gi_387605794)	putative fimbrial protein [E. coli common pilus (ECP) (CVF625)] [Escherichia coli O44:H18 042]
61	VFDB|VFG034675(gi_218703904)	copper/silver efflux system outer membrane protein CusC [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli O17:K52:H18 str. UMN026]
62	VFDB|VFG034692(gi_91213503)	hypothetical protein [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli UTI89]
63	VFDB|VFG034777(gi_260870723)	T3SS effector-like protein EspL [EspL4 (CVF690)] [Escherichia coli O111:H- str. 11128]
64	VFDB|VFG035446(gi_410484153)	hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli O104:H4 str. 2009EL-2050]
65	VFDB|VFG035542(gi_260842449)	hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli O103:H2 str. 12009]
66	VFDB|VFG035594(gi_260842451)	hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli O103:H2 str. 12009]
67	VFDB|VFG035722(gi_410484142)	type VI secretion system protein ImpG [ACE T6SS (CVF736)] [Escherichia coli O104:H4 str. 2009EL-2050]
68	VFDB|VFG035735(gi_15799910)	hypothetical protein [EHS (SS185)] [Escherichia coli O157:H7 str. EDL933]
69	VFDB|VFG035833(gi_15801686)	Rhs element protein [ACE T6SS (CVF736)] [Escherichia coli O157:H7 str. EDL933]
70	VFDB|VFG035950(gi_260846630)	adhesin [UpaG adhesin, trimeric AT (CVF740)] [Escherichia coli O103:H2 str. 12009]
71	VFDB|VFG036004(gi_386612565)	hypothetical protein [EhaB, AIDA-I type (CVF744)] [Escherichia coli UMNK88]
72	VFDB|VFG036084(gi_91206275)	enterotoxin TieB protein [Enterotoxin SenB/TieB (CVF755)] [Escherichia coli UTI89]
73	VFDB|VFG040946(gi_157154814)	putative general secretion pathway protein YghD [gsp (SS206)] [Escherichia coli E24377A]
74	VFDB|VFG040948(gi_157155920)	general secretion pathway protein K [gsp (SS206)] [Escherichia coli E24377A]
75	VFDB|VFG040950(gi_157156956)	general secretion pathway protein I [gsp (SS206)] [Escherichia coli E24377A]
76	VFDB|VFG040952(gi_157157959)	general secretion pathway protein G [gsp (SS206)] [Escherichia coli E24377A]
77	VFDB|VFG040955(gi_157157281)	general secretion pathway protein D [gsp (SS206)] [Escherichia coli E24377A]
78	VFDB|VFG040956(gi_157156659)	putative type II secretion protein GspC [gsp (SS206)] [Escherichia coli E24377A]
79	VFDB|VFG040957(gi_206579648)	pullulanase secretion protein PulS [pul (SS215)] [Klebsiella pneumoniae 342]
80	VFDB|VFG040961(gi_206578391)	pullulanase secretion protein PulE [pul (SS215)] [Klebsiella pneumoniae 342]
81	VFDB|VFG040962(gi_206578970)	pullulanase secretion protein PulF [pul (SS215)] [Klebsiella pneumoniae 342]
82	VFDB|VFG040963(gi_206579617)	pullulanase secretion protein PulG [pul (SS215)] [Klebsiella pneumoniae 342]
83	VFDB|VFG040964(gi_206579603)_virulence|28810|vfid|67924|vsiid|89568|ssid|SubName_	pullulanase secretion protein PulH [pul (SS215)] [Klebsiella pneumoniae 342]
84	VFDB|VFG040965(gi_206580315)	pullulanase secretion protein PulI [pul (SS215)] [Klebsiella pneumoniae 342]
85	VFDB|VFG040966(gi_206581080)	pullulanase secretion protein PulJ [pul (SS215)] [Klebsiella pneumoniae 342]
86	VFDB|VFG040967(gi_206579421)	pullulanase secretion protein PulK [pul (SS215)] [Klebsiella pneumoniae 342]
87	VFDB|VFG040968(gi_206576722)	pullulanase secretion protein PulL [pul (SS215)] [Klebsiella pneumoniae 342]
88	VFDB|VFG040969(gi_206579795)	pullulanase secretion protein PulM [pul (SS215)] [Klebsiella pneumoniae 342]
89	VFDB|VFG041003(gi_284924301)	transposase [AAI/SCI-II (SS182)] [Escherichia coli O44:H18 042]
90	VFDB|VFG041049(gi_15799912)	hypothetical protein [EHS (SS185)] [Escherichia coli O157:H7 str. EDL933]
91	VFDB|VFG041172(gi_205352301)	hypothetical protein [T6SS (SS177)] [Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91]
92	VFDB|VFG042084(gi_15832979)	surface presentation of antigens protein SpaP [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
93	VFDB|VFG042085(gi_15832978)	EpaQ [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
94	VFDB|VFG042088(gi_15832974)	transcriptional regulator [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
95	VFDB|VFG042089(gi_15832971)	EprJ [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
96	VFDB|VFG042090(gi_15832972)	EprI [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
97	VFDB|VFG042093(gi_15832967)	hypothetical protein [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
98	VFDB|VFG042095(gi_15832966)	hypothetical protein [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
99	VFDB|VFG042096(gi_15832962)	hypothetical protein [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
100	VFDB|VFG042097(gi_15832963)	transcriptional regulator [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
101	VFDB|VFG042337(gi_218689435)	peptidase S6, IgA endopeptidase from phage origin [EaaA (SS067)] [Escherichia coli ED1a]
102	VFDB|VFG042398(gi_15800799)	fimbrial-like protein [E. coli YcbQ laminin-binding fimbriae (ELF) (AI005)] [Escherichia coli O157:H7 str. EDL933]
103	VFDB|VFG042402(gi_15800802)	hypothetical protein [E. coli YcbQ laminin-binding fimbriae (ELF) (AI005)] [Escherichia coli O157:H7 str. EDL933]
104	VFDB|VFG042403(gi_15800803)	putative fimbrial-like protein [E. coli YcbQ laminin-binding fimbriae (ELF) (AI005)] [Escherichia coli O157:H7 str. EDL933]
105	VFDB|VFG042404(gi_15804987)	putativi pili assembly chaperone [E. coli YcbQ laminin-binding fimbriae (ELF) (AI005)] [Escherichia coli O157:H7 str. EDL933]
106	VFDB|VFG042590(gi_46487739)	StgA [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
107	VFDB|VFG042592(gi_46487741)	StgC [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
108	VFDB|VFG042593(gi_46487742)	StgD [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
109	VFDB|VFG042688(gi_283520632)	MrkA [type 3 fimbriae (AI084)] [Citrobacter freundii str. M46]
110	VFDB|VFG042689(gi_283520633)	MrkB [type 3 fimbriae (AI084)] [Citrobacter freundii str. M46]
111	VFDB|VFG042713(gi_15801631)	putative major fimbrial subunit [F9 fimbriae (AI090)] [Escherichia coli O157:H7 str. EDL933]
112	VFDB|VFG042714(gi_15801632)	putative fimbrial chaperone protein [F9 fimbriae (AI090)] [Escherichia coli O157:H7 str. EDL933]
113	VFDB|VFG042717(gi_15801635)_Victors|gi|15801635|ref|NP_287652_1|	putative fimbrial-like protein [F9 fimbriae (AI090)] [Escherichia coli O157:H7 str. EDL933]
114	VFDB|VFG042718(gi_15801636)	putative adhesin; FimH protein [F9 fimbriae (AI090)] [Escherichia coli O157:H7 str. EDL933]
115	VFDB|VFG042725(gi_15801154)	curli production assembly/transport component, 2nd curli operon [curli fibers (AI093)] [Escherichia coli O157:H7 str. EDL933]
116	VFDB|VFG042798(gi_15799790)	type IV pilin biogenesis protein [Hemorrhagic Coli pili (HCP) (AI102)] [Escherichia coli O157:H7 str. EDL933]
117	VFDB|VFG043023(gi_16764531)	flagellar basal body rod protein FlgC [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
118	VFDB|VFG043039(gi_16765260)	chemotaxis methyltransferase CheR [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
119	VFDB|VFG043041(gi_16765262)	purine-binding chemotaxis protein [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
120	VFDB|VFG043044(gi_16765265)	flagellar motor protein MotA [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
121	VFDB|VFG043045(gi_39546332)	transcriptional activator FlhC [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
122	VFDB|VFG043047(gi_16765292)	cystine transporter subunit [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
123	VFDB|VFG043056(gi_16765307)_virulence|11267|vfid|17972|vsiid|30274|ssid|RecName_	flagellar MS-ring protein [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
124	VFDB|VFG043064(gi_16765315)_virulence|12154|vfid|18859|vsiid|35744|ssid|RecName__virulence|12154|vfid|68562|vsiid|91271|ssid|RecName_	flagellar motor switch protein FliN [peritrichous flagella (AI139)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
125	VFDB|VFG043072(gi_15801187)	flagella synthesis protein FlgN [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
126	VFDB|VFG043073(gi_15801189)	flagellar basal body P-ring biosynthesis protein FlgA [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
127	VFDB|VFG043074(gi_15801190)	flagellar basal body rod protein FlgB [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
128	VFDB|VFG043076(gi_15801192)	flagellar basal body rod modification protein [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
129	VFDB|VFG043080(gi_15801196)_virulence|11611|vfid|18316|vsiid|32285|ssid|RecName_	flagellar basal body L-ring protein [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
130	VFDB|VFG043083(gi_15801199)	flagellar hook-associated protein FlgK [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
131	VFDB|VFG043084(gi_15801200)	flagellar hook-associated protein FlgL [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
132	VFDB|VFG043085(gi_15802290)	flagellar protein [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
133	VFDB|VFG043086(gi_15802291)	flagellar biosynthesis protein FlhA [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
134	VFDB|VFG043088(gi_15802293)	chemotaxis regulator CheZ [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
135	VFDB|VFG043092(gi_15802298)	methyl-accepting chemotaxis protein II [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
136	VFDB|VFG043094(gi_15802300)	chemotaxis protein CheA [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
137	VFDB|VFG043098(gi_15802304)	transcriptional activator FlhD [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
138	VFDB|VFG043100(gi_15802356)	flagella biosynthesis protein FliZ [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
139	VFDB|VFG043101(gi_15802357)	flagellar biosynthesis sigma factor [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
140	VFDB|VFG043103(gi_15802359)	flagellar capping protein [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
141	VFDB|VFG043104(gi_15802360)	flagellar protein FliS [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
142	VFDB|VFG043105(gi_15802361)	flagellar biosynthesis protein FliT [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
143	VFDB|VFG043110(gi_161367587)	flagellum-specific ATP synthase [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
144	VFDB|VFG043112(gi_15802378)	flagellar hook-length control protein [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
145	VFDB|VFG043113(gi_15802379)	flagellar basal body-associated protein FliL [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
146	VFDB|VFG043116(gi_161367586)	flagellar biosynthesis protein FliO [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
147	VFDB|VFG043118(gi_15802384)_virulence|10692|vfid|17397|vsiid|26193|ssid|RecName__virulence|10692|vfid|68348|vsiid|90938|ssid|RecName_	flagellar biosynthesis protein FliQ [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
148	VFDB|VFG043120(gi_15802868)	flagella biosynthesis regulator [peritrichous flagella (AI140)] [Escherichia coli O157:H7 str. EDL933]
149	VFDB|VFG043545(gi_218560235)	lipoprotein NlpI [NlpI (AI331)] [Escherichia coli O45:K1:H7 str. S88]
150	VFDB|VFG043612(gi_206580312)	putative cyclic diguanylate phosphodiesterase [type 1 fimbriae (AI075)] [Klebsiella pneumoniae 342]
151	VFDB|VFG043613(gi_206575974)	fimbrial protein FimH [type 1 fimbriae (AI075)] [Klebsiella pneumoniae 342]
152	VFDB|VFG043614(gi_206576049)	fimbrial protein FimG [type 1 fimbriae (AI075)] [Klebsiella pneumoniae 342]
153	VFDB|VFG043618(gi_206579140)	fimbrial protein [type 1 fimbriae (AI075)] [Klebsiella pneumoniae 342]
154	VFDB|VFG043620(gi_206578497)	NA
155	VFDB|VFG043623(gi_238896386)	NA
156	VFDB|VFG043624(gi_238896387)	NA
157	VFDB|VFG043625(gi_238896388)	NA
158	VFDB|VFG044165(gb|NP_752609)	enterobactin exporter, iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]
159	VFDB|VFG044322(gi_238894719)	NA
160	VFDB|VFG044333(gi_238895518)	NA
161	VFDB|VFG045792	minor curlin subunit CsgB [Curli fibers (CVF822)] [Escherichia coli O25b:H4-ST131]
162	VFDB|VFG045881	chaperone [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli O55:H7 str. RM12579]
163	VFDB|VFG045904	putative outer membrane usher protein [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli O111:H- str. 11128]
164	VFDB|VFG045930	putative fimbrial-like adhesin protein [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli O7:K1 str. IAI39]
165	VFDB|VFG045936	prepilin peptidase-dependent protein D [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli VR50]
166	VFDB|VFG045977	hypothetical protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli O127:H6 str. E2348/69]
167	VFDB|VFG046074	curli assembly protein CsgC [Curli fibers (CVF822)] [Escherichia coli VR50]
168	Victors|gi|110806439|ref|YP_689959_1|	 inosine 5'-monophosphate dehydrogenase [Shigella flexneri 5 str. 8401]
169	Victors|gi|110807348|ref|YP_690868_1|	 hypothetical protein SFV_3526 [Shigella flexneri 5 str. 8401]
170	Victors|gi|117622640|ref|YP_851553_1|	 transport protein [Escherichia coli APEC O1]
171	Victors|gi|117623421|ref|YP_852334_1|	 GTP-dependent nucleic acid-binding protein EngD [Escherichia coli APEC O1]
172	Victors|gi|117623583|ref|YP_852496_1|	 periplasmic murein peptide-binding protein precursor [Escherichia coli APEC O1]
173	Victors|gi|117624251|ref|YP_853164_1|	 glycosyl transferase [Escherichia coli APEC O1]
174	Victors|gi|117625164|ref|YP_854152_1|	 transketolase [Escherichia coli APEC O1]
175	Victors|gi|117625251|ref|YP_854344_1|	 polysialic acid capsule synthesis protein KpsS [Escherichia coli APEC O1]
176	Victors|gi|117626679|ref|YP_860002_1|	 hypothetical protein APECO1_2059 [Escherichia coli APEC O1]
177	Victors|gi|123441850|ref|YP_001005833_1|	 3-phosphoshikimate 1-carboxyvinyltransferase [Yersinia enterocolitica subsp. enterocolitica 8081]
178	Victors|gi|126208850|ref|YP_001054075_1|_Victors|gi|165976811|ref|YP_001652404_1|	NA
179	Victors|gi|147673654|ref|YP_001217891_1|_Victors|gi|15642386|ref|NP_232019_1|_Victors|gi|227082512|ref|YP_002811063_1|	NA
180	Victors|gi|157159059|ref|YP_001465018_1|_Victors|gi|157163019|ref|YP_001460337_1|_Victors|gi|16131416|ref|NP_418001_1|_Victors|gi|170083053|ref|YP_001732373_1|_Victors|gi|218697257|ref|YP_002404924_1|_Victors|gi|218556099|ref|YP_002389012_1|	NA
181	Victors|gi|15799850|ref|NP_285862_1|	 methionine aminopeptidase [Escherichia coli O157:H7 str. EDL933]
182	Victors|gi|15800120|ref|NP_286132_1|	 recombination associated protein [Escherichia coli O157:H7 str. EDL933]
183	Victors|gi|15800907|ref|NP_286923_1|	 putative regulator [Escherichia coli O157:H7 str. EDL933]
184	Victors|gi|15801015|ref|NP_287031_1|	 outer membrane protein PgaA [Escherichia coli O157:H7 str. EDL933]
185	Victors|gi|15801164|ref|NP_287181_1|	 glucans biosynthesis protein [Escherichia coli O157:H7 str. EDL933]
186	Victors|gi|15801455|ref|NP_287472_1|	 nitrate reductase 1, alpha subunit [Escherichia coli O157:H7 str. EDL933]
187	Victors|gi|15801609|ref|NP_287626_1|	 hypothetical protein Z2176 [Escherichia coli O157:H7 str. EDL933]
188	Victors|gi|15801637|ref|NP_287654_1|	 putative oxidoreductase [Escherichia coli O157:H7 str. EDL933]
189	Victors|gi|15801642|ref|NP_287659_1|	 putative ATP-binding component of a transport system [Escherichia coli O157:H7 str. EDL933]
190	Victors|gi|15801734|ref|NP_287752_1|	 ATP-dependent RNA helicase HrpA [Escherichia coli O157:H7 str. EDL933]
