Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S
A15	bin.9	46.79	2) medium quality	50.14	0.67	0	Oscillibacter sp.	species	0.805	Oscillibacter sp.	species	0.805	4309	0.99	10.7	235	13033	946	13	0	0	0
A15	unbinned	-11833.15	0) really bad	100	2386.63	5.06	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.087	1347	100.9	8.3	196060	96131	0	822	25	23	36
A16	12_sub	60.06	2) medium quality	72.56	2.5	14.29	Clostridiaceae	family	0.769	Clostridiaceae bacterium	species	0.582	5728	2.61	10.69	521	21275	2403	11	0	0	0
A16	20	64.03	2) medium quality	71.88	1.57	60	Phascolarctobacterium succinatutens	species	0.675	Unclassified	Unclassified	0.634	2526	1.25	8.18	549	8213	1148	13	0	0	0
A16	maxbin.001	-186.73	0) really bad	90.17	55.38	92.16	Prevotella	genus	0.846	Prevotella sp. AM23-5	species	0.372	7742	5.83	86.13	1227	65955	4560	49	2	5	5
A17	21	51.96	2) medium quality	55.51	0.71	0	Life	life	0.663	Unclassified	Unclassified	0.416	1932	1.26	7.03	683	7478	1305	29	1	2	0
A17	4	50.14	2) medium quality	60.39	2.05	44.44	Bacteroidales	order	0.761	Unclassified	Unclassified	0.332	2135	2.27	7.53	1118	7662	2011	28	0	2	0
A17	bin.1	91.89	3) high quality Nayfach	93.34	0.29	33.33	Prevotella sp. Marseille-P4119	species	0.994	Prevotella sp. Marseille-P4119	species	0.994	15507	2.68	37.97	235	60180	2081	21	0	0	1
A17	bin.5	95.21	3) high quality Nayfach	96.11	0.18	50	Lachnospiraceae	family	0.682	uncultured Lachnospiraceae bacterium	species	0.391	14296	2.45	18.41	219	79786	2125	24	0	0	0
A17	unbinned	-9549.8	0) really bad	100	1929.96	8.42	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.164	1763	74.06	11.46	142737	78987	0	530	14	13	22
A18	1	89.35	3) high quality Nayfach	96	1.33	0	Life	life	0.666	Bacillales bacterium UBA7004	species	0.111	16927	1.72	41.46	156	57700	1580	35	0	0	0
A18	39	92.15	3) high quality Nayfach	97.75	1.12	0	Firmicutes bacterium CAG:345	species	0.873	Firmicutes bacterium CAG:345	species	0.873	253516	1.88	102.02	53	485570	1734	48	0	0	0
A18	maxbin.003_sub	86.15	3) high quality Nayfach	94.35	1.64	0	Bacteria	superkingdom	0.719	Ruminococcaceae bacterium	species	0.219	137600	2.72	70.76	53	275429	2367	43	1	0	0
A18	maxbin.011_sub	-78.7	0) really bad	73.9	30.52	7.14	Bacteria	superkingdom	0.683	Enterococcus	genus	0.382	2336	2.77	8.14	1276	30072	2481	17	0	0	0
A18	unbinned	-2137.7	0) really bad	100	447.54	8.65	Life	life	0.665	Firmicutes bacterium CAG:449	species	0.25	12120	12.93	24.33	17071	176624	0	194	10	10	7
A19	10	41.52	2) medium quality	75.17	6.73	7.69	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.224	2325	1.64	9.64	770	7478	1718	14	0	0	0
A19	23	48.53	2) medium quality	52.13	0.72	0	Clostridiales bacterium	species	0.959	Clostridiales bacterium	species	0.959	1942	0.95	9.02	503	12317	872	10	0	0	0
A19	52	46.1	2) medium quality	50.55	0.89	50	Clostridia	class	0.675	Unclassified	Unclassified	0.522	1922	1.03	8.99	559	6837	1035	9	0	0	2
A19	9	42.17	1) low quality	43.72	0.31	0	Sutterella	genus	0.682	Sutterella sp. UBA4713	species	0.263	1641	0.79	7.16	490	4907	739	20	0	1	1
A19	bin.10	80.79	2) medium quality	82.14	0.27	66.67	[Eubacterium] siraeum DSM 15702	strain	0.712	[Eubacterium] siraeum DSM 15702	strain	0.712	6500	1.91	16.31	324	23607	1607	8	0	0	0
A19	bin.12	88.26	3) high quality Nayfach	91.61	0.67	0	Lachnospiraceae bacterium UBA4631	species	0.716	Unclassified	Unclassified	0.382	12646	2.3	21.87	236	48201	2015	25	0	0	0
A19	bin.16	85.91	2) medium quality	85.91	0	0	Clostridiales	order	0.711	Ruminococcaceae bacterium	species	0.482	14077	2.38	21.47	224	37117	2158	28	0	0	2
A19	bin.18	94.28	3) high quality Nayfach	95.98	0.34	0	Clostridium sp. CAG:413	species	0.999	Clostridium sp. CAG:413	species	0.999	24940	2.08	26.76	123	89977	1828	31	0	0	0
A19	bin.19	90.51	3) high quality Nayfach	97.21	1.34	0	Clostridiales	order	0.738	Clostridiales bacterium UBA5901	species	0.235	26029	2.09	42.05	117	87504	1891	36	0	0	2
A19	bin.3	83.41	2) medium quality	87.46	0.81	100	uncultured Clostridiales bacterium	species	0.798	uncultured Clostridiales bacterium	species	0.798	15069	1.57	28.69	145	51509	1493	26	0	0	0
A19	bin.4	83.58	3) high quality Nayfach	95.08	2.3	33.33	Alistipes sp. CAG:514	species	0.723	Unclassified	Unclassified	0.433	80956	3.61	89.29	68	186522	2824	44	0	0	0
A19	bin.6	85.7	3) high quality Nayfach	93.75	1.61	66.67	Christensenellaceae bacterium Phil1	species	0.969	Christensenellaceae bacterium Phil1	species	0.969	13442	2.01	23.55	208	54016	1911	33	0	0	0
A19	bin.7	94.28	3) high quality Nayfach	99.33	1.01	0	Butyrivibrio crossotus	species	0.806	Butyrivibrio crossotus	species	0.806	25079	2.21	53.56	140	85885	2078	30	1	0	0
A19	maxbin.005_sub	80.35	3) high quality Nayfach	93.75	2.68	50	Oscillibacter sp.	species	0.72	Oscillibacter sp.	species	0.72	40206	2.41	35.14	187	130490	2299	36	1	0	0
A19	unbinned	-28392.25	0) really bad	100	5698.45	2.73	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.296	953	173.17	0	441199	87637	0	1460	42	53	66
A2	18	82.11	2) medium quality	84.71	0.52	0	Bacteroidales	order	0.672	Bacteroides	genus	0.26	6963	4.19	13.3	735	31044	3202	26	0	0	0
A2	bin.1	88.4	3) high quality Nayfach	98.55	2.03	12.5	Prevotella copri DSM 18205	strain	0.94	Prevotella copri DSM 18205	strain	0.94	95260	3.62	177.74	67	236655	2933	47	0	0	0
A21	11	84.56	2) medium quality	89.66	1.02	25	Prevotella stercorea	species	0.802	Prevotella stercorea	species	0.802	6617	2.31	18.97	440	36018	1775	21	0	0	0
A21	15	24.64	2) medium quality	66.94	8.46	10	Firmicutes	phylum	0.687	Lachnospiraceae bacterium	species	0.199	2048	3.6	8.89	1837	34674	3687	26	0	0	0
A21	17	83.08	2) medium quality	91.23	1.63	25	Ruminococcaceae bacterium	species	0.964	Ruminococcaceae bacterium	species	0.964	4771	2.01	12.6	521	17829	1819	28	0	0	0
A21	18	94.15	2) medium quality	95.25	0.22	0	Butyrivibrio	genus	0.879	Butyrivibrio crossotus CAG:259	species	0.52	7991	2.2	18.23	376	33448	2036	14	0	0	0
A21	30	40.6	2) medium quality	60.7	4.02	50	Faecalibacterium prausnitzii	species	0.796	Faecalibacterium prausnitzii	species	0.596	1796	1.72	12.58	979	5833	1597	13	0	0	0
A21	bin.9	79	3) high quality Nayfach	93	2.8	63.16	Prevotella sp.	species	0.777	Prevotella sp.	species	0.777	19836	2.86	56.73	211	60896	2306	34	0	0	0
A21	unbinned	-14886.65	0) really bad	100	2997.33	3.1	Bacteria	superkingdom	0.667	Unclassified	Unclassified	0.225	1075	102.29	7.73	245589	46214	0	866	32	36	44
A22	10_sub	-18.18	0) really bad	50.92	13.82	35.09	Bacteroides	genus	0.69	Bacteroides thetaiotaomicron	species	0.265	2563	4.94	10.25	2047	28555	3704	19	0	0	0
A22	28	44.87	2) medium quality	79.37	6.9	12.5	Oscillospiraceae	family	0.669	Oscillibacter sp.	species	0.563	2690	2.58	10.06	1094	10720	2509	35	0	0	1
A22	bin.3_sub	89.56	3) high quality Nayfach	96.76	1.44	33.33	Alistipes putredinis	species	0.942	Alistipes putredinis	species	0.942	42832	2.07	32.4	77	112550	1778	34	0	0	0
A22	maxbin.005	-33.74	0) really bad	82.26	23.2	67.44	Bacteroides	genus	0.669	Bacteroides ovatus	species	0.546	8526	5.71	28.64	1045	98695	4323	29	1	1	1
A22	maxbin.006_sub	-69.88	0) really bad	81.47	30.27	9.59	Bacteria	superkingdom	0.662	Bacteroides uniformis	species	0.296	6784	5.56	16.28	1652	72030	4715	35	4	10	5
A22	unbinned	-8106.45	0) really bad	100	1641.29	5.11	Bacteria	superkingdom	0.664	Bacteroides	genus	0.087	1157	72.25	9.28	161449	278983	0	486	10	4	26
A24	17	97.27	3) high quality Nayfach	97.27	0	0	Ruminococcaceae bacterium	species	0.946	Ruminococcaceae bacterium	species	0.946	16208	2.16	19.46	180	49981	2003	43	0	0	2
A24	maxbin.001	79.82	3) high quality Nayfach	94.17	2.87	30.77	Prevotella copri	species	0.795	Prevotella copri	species	0.432	11319	3.54	80.8	561	59943	2895	51	2	4	1
A24	maxbin.004	-102.56	0) really bad	73.09	35.13	29.35	Faecalibacterium prausnitzii	species	0.664	Faecalibacterium prausnitzii	species	0.563	1549	3.1	11.9	1933	13198	3071	21	0	0	1
A24	unbinned	-13511.3	0) really bad	100	2722.26	4.51	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.169	876	98.21	4.78	248958	48454	0	699	24	26	42
A25	14	94.98	3) high quality Nayfach	99.38	0.88	0	Succinatimonas	genus	0.907	Succinatimonas sp. UBA2849	species	0.541	52310	2.51	44.02	82	132118	2172	46	0	0	0
A25	38	45.56	1) low quality	45.81	0.05	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.696	Unclassified	Unclassified	0.696	1787	1.09	7.89	615	6407	922	6	0	0	0
A25	unbinned	-17856.05	0) really bad	100	3591.21	4.41	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.171	1334	133.22	6.48	270443	89169	0	998	31	39	44
A26	18	88.39	2) medium quality	89.49	0.22	100	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.961	Unclassified	Unclassified	0.961	35124	1.77	28.24	104	117606	1611	30	0	0	0
A26	30	97.27	3) high quality Nayfach	97.27	0	0	Ruminococcaceae bacterium	species	0.936	Ruminococcaceae bacterium	species	0.936	23371	2.2	22.32	142	78991	2067	40	0	0	2
A26	33	42.5	1) low quality	48.9	1.28	0	Life	life	0.711	Acholeplasma sp. CAG:878	species	0.436	2141	0.84	15.3	380	136731	1023	46	0	0	0
A26	6	78.29	2) medium quality	85.54	1.45	0	Life	life	0.674	Unclassified	Unclassified	0.192	4380	1.69	12.2	474	18610	1485	26	0	0	0
A26	7	51.99	2) medium quality	56.99	1	33.33	Prevotellaceae	family	0.684	Unclassified	Unclassified	0.272	1896	1.45	7.33	794	8804	1092	10	0	0	0
A26	bin.11	45.41	2) medium quality	65.11	3.94	11.11	Oscillibacter	genus	0.92	Oscillibacter sp.	species	0.594	4960	1.35	13.84	279	21128	1226	13	0	0	0
A26	bin.13_sub	64.81	2) medium quality	64.81	0	0	[Eubacterium] siraeum	species	0.914	[Eubacterium] siraeum V10Sc8a	strain	0.529	4921	1.62	12.22	337	18429	1391	12	0	0	0
A26	bin.8_sub	86.45	3) high quality Nayfach	91.5	1.01	0	Ruminococcaceae bacterium	species	0.785	Ruminococcaceae bacterium	species	0.785	12019	1.98	16.33	207	46369	1826	39	0	0	1
A26	maxbin.012_sub	12.63	1) low quality	19.73	1.42	0	Bacteria	superkingdom	0.667	Bacteroides	genus	0.19	1712	1.05	10.27	580	27806	1019	2	0	1	0
A26	maxbin.014	41.72	2) medium quality	57.72	3.2	11.11	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.444	2147	1.62	9.25	814	12017	1275	12	0	1	1
A26	unbinned	-16293.95	0) really bad	100	3278.79	3.52	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.264	1012	112.27	5.61	269069	68668	0	910	39	28	48
A27	19	24.84	1) low quality	28.24	0.68	12.5	[Eubacterium] rectale	species	0.703	[Eubacterium] rectale	species	0.531	1444	0.67	5.31	451	6294	515	1	0	0	0
A27	2	80.52	3) high quality Nayfach	95.92	3.08	66.67	Faecalibacterium	genus	0.683	Faecalibacterium sp. BIOML-A1	species	0.286	12790	3.55	22.48	430	61742	3449	44	0	0	0
A27	33	87.85	2) medium quality	91.5	0.73	0	[Eubacterium] siraeum	species	0.87	[Eubacterium] siraeum V10Sc8a	strain	0.619	5412	2.31	12.52	572	29701	1945	13	1	0	0
A27	7	78.34	2) medium quality	87.29	1.79	25	Clostridium sp. CAG:138	species	0.99	Clostridium sp. CAG:138	species	0.99	7650	1.78	15.02	307	26141	1584	25	0	0	0
A27	bin.2	93.77	3) high quality Nayfach	97.97	0.84	0	Prevotella sp.	species	0.851	Prevotella sp.	species	0.851	55090	3.25	59.57	87	270922	2694	50	0	0	0
A27	bin.6	84.36	2) medium quality	89.61	1.05	0	Clostridiales bacterium	species	0.993	Clostridiales bacterium	species	0.993	23913	1.5	24.33	85	79835	1329	41	1	0	0
A27	bin.7	91.45	3) high quality Nayfach	94.6	0.63	0	Alistipes sp. CAG:514	species	0.826	Alistipes sp. CAG:514	species	0.826	51854	2.73	35.67	87	185919	2152	40	0	0	0
A27	unbinned	-11724.95	0) really bad	100	2364.99	3.9	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.209	951	92.5	4.86	228872	52285	0	757	27	28	32
A28	2	44.81	1) low quality	49.46	0.93	20	Clostridia	class	0.679	Unclassified	Unclassified	0.509	1931	1.09	7.52	597	7086	1053	15	0	0	1
A28	36	65.03	2) medium quality	65.03	0	0	Ruminococcus	genus	0.679	Ruminococcus sp. AM28-29LB	species	0.186	3285	1.29	8.9	426	12903	1080	5	0	0	1
A28	39	4.61	0) really bad	69.86	13.05	22.58	Clostridium sp. CAG:567	species	0.736	Clostridium sp. CAG:567	species	0.736	1846	0.96	6.27	522	8409	773	15	0	0	0
A28	55	74.98	2) medium quality	90.38	3.08	16.67	Ruminococcaceae bacterium	species	0.854	Ruminococcaceae bacterium	species	0.854	4582	1.6	11.18	433	14482	1397	12	0	0	0
A28	57	91.4	2) medium quality	91.4	0	0	Azospirillum sp. 51_20	species	0.697	Unclassified	Unclassified	0.572	5053	1.62	12.08	411	22266	1636	23	0	0	0
A28	6_sub	28.85	2) medium quality	59.95	6.22	34.62	Clostridiales	order	0.667	Oscillibacter sp. CAG:241	species	0.327	5073	2.3	13.25	493	53590	2237	29	0	0	0
A28	7	60.03	2) medium quality	68.28	1.65	0	Clostridium sp. CAG:138	species	0.945	Clostridium sp. CAG:138	species	0.945	2309	1.37	8.43	657	7835	1329	19	0	0	0
A28	bin.11	87.79	3) high quality Nayfach	90.14	0.47	0	Clostridiales bacterium	species	0.965	Clostridiales bacterium	species	0.965	10242	2.76	15.58	346	38264	2320	36	0	0	3
A28	bin.4	96.58	3) high quality Nayfach	96.58	0	0	Ruminococcus	genus	0.676	Ruminococcus sp.	species	0.464	12726	2.41	14.98	233	38910	2145	26	0	0	0
A28	bin.9	57.46	2) medium quality	60.81	0.67	0	Clostridiales bacterium UBA5901	species	0.823	Unclassified	Unclassified	0.607	5116	1.86	12.7	385	17145	1723	17	0	0	2
A28	maxbin.002_sub	74.02	2) medium quality	91.57	3.51	33.33	Phocaeicola plebeius	species	0.751	Phocaeicola plebeius	species	0.751	12209	3.67	17.96	570	51168	3065	28	0	2	1
A28	unbinned	-16195.4	0) really bad	100	3259.08	5.08	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.103	1017	124.57	5.35	267607	37311	0	871	33	32	41
A29	24	48.54	2) medium quality	86.69	7.63	100	Faecalibacterium prausnitzii	species	0.902	Faecalibacterium prausnitzii	species	0.645	4084	2.17	20.19	635	17582	1968	36	0	0	1
A29	25	28.49	1) low quality	38.29	1.96	0	Acholeplasmatales bacterium	species	0.768	Acholeplasmatales bacterium	species	0.768	1441	0.34	5.78	231	5754	229	1	0	0	0
A29	31	62.88	2) medium quality	64.53	0.33	25	Life	life	0.661	Unclassified	Unclassified	0.444	2982	0.7	9.44	271	18035	581	15	0	0	0
A29	32	87.57	2) medium quality	87.57	0	0	Clostridiales bacterium	species	0.974	Clostridiales bacterium	species	0.974	7738	1.44	15.27	251	30744	1279	25	0	0	1
A29	37	71.81	2) medium quality	79.21	1.48	25	Ruminococcaceae bacterium	species	0.831	Ruminococcaceae bacterium	species	0.831	2461	1.69	9.55	771	10077	1592	17	0	0	0
A29	7	87.05	2) medium quality	91.55	0.9	100	Verrucomicrobia bacterium	species	0.877	Verrucomicrobia bacterium	species	0.877	4453	2.28	12.51	643	16688	1950	30	0	0	0
A29	8	97.93	3) high quality Nayfach	99.38	0.29	0	Succinatimonas	genus	0.9	Succinatimonas sp. UBA2849	species	0.536	33245	2.29	35.97	117	197299	1924	38	0	0	0
A29	bin.12	96.15	3) high quality Nayfach	96.15	0	0	Clostridia	class	0.693	Ruminococcaceae bacterium	species	0.157	83114	1.73	33	40	194953	1625	43	1	0	0
A29	unbinned	-17803.75	0) really bad	100	3580.75	3.33	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.248	915	114.32	4.76	289689	30851	0	947	37	32	50
A30	19_sub	74.16	2) medium quality	94.76	4.12	23.08	Clostridiales	order	0.685	Ruminococcaceae bacterium	species	0.457	7657	4.24	17.47	701	36938	4314	58	0	0	1
A30	2	56.04	2) medium quality	70.34	2.86	42.86	Prevotella copri	species	0.763	Prevotella copri	species	0.509	2519	2.27	11.31	998	11803	1980	9	0	0	0
A30	21	75.53	2) medium quality	83.98	1.69	33.33	Clostridiales bacterium	species	0.96	Clostridiales bacterium	species	0.96	4562	1.39	13.24	374	26787	1216	26	0	0	0
A30	22_sub	63.06	2) medium quality	74.81	2.35	0	Clostridium sp. CAG:138	species	0.969	Clostridium sp. CAG:138	species	0.969	3223	1.37	10.1	496	10577	1268	11	0	0	0
A30	25	97.34	3) high quality Nayfach	98.79	0.29	0	Succinatimonas	genus	0.897	Succinatimonas sp. UBA2849	species	0.581	26514	2.33	21.9	143	89082	1996	42	0	0	0
A30	30_sub	61.46	2) medium quality	70.41	1.79	60	Christensenellaceae bacterium Phil1	species	0.957	Christensenellaceae bacterium Phil1	species	0.957	2710	1.68	11.12	701	11673	1624	17	0	0	0
A30	35	67.43	2) medium quality	94.43	5.4	59.09	Alistipes sp. CAG:514	species	0.687	Alistipes sp. CAG:514	species	0.57	20712	3.1	29.54	323	68120	2403	39	0	0	0
A30	38	71.71	2) medium quality	77.76	1.21	55.56	Prevotellaceae bacterium	species	0.955	Prevotellaceae bacterium	species	0.955	3164	2.18	10.52	806	10528	1725	13	0	0	0
A30	45	67.1	2) medium quality	78.2	2.22	0	Life	life	0.66	Unclassified	Unclassified	0.261	2152	1.27	6.77	630	9263	1109	8	0	0	0
A30	bin.10	73.96	2) medium quality	80.16	1.24	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.678	Unclassified	Unclassified	0.678	6486	1.63	11.74	282	18178	1517	33	0	0	0
A30	bin.11	66.65	2) medium quality	67.6	0.19	0	Prevotella stercorea	species	0.877	Prevotella stercorea	species	0.877	9014	1.79	18.06	242	31675	1348	12	0	0	0
A30	maxbin.005_sub	70.17	2) medium quality	85.57	3.08	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.743	Unclassified	Unclassified	0.743	7765	2.18	16.23	486	37544	2045	37	1	0	0
A30	unbinned	-17174.9	0) really bad	100	3454.98	3.49	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.349	1019	122.56	5.99	305532	44419	0	1145	36	39	48
A31	1_sub	12.19	0) really bad	80.69	13.7	17.14	Bacteroides ovatus	species	0.709	Bacteroides ovatus	species	0.709	17618	5.6	22.31	387	92552	4303	32	0	0	1
A31	25	52.66	2) medium quality	60.51	1.57	33.33	Ruminococcaceae bacterium UBA1691	species	0.719	Ruminococcaceae bacterium UBA1691	species	0.495	1922	1.71	6.91	936	6738	1674	14	1	0	1
A31	bin.4	93.15	3) high quality Nayfach	93.15	0	0	Ruminococcus	genus	0.696	Ruminococcus sp.	species	0.378	12573	2.43	16.35	240	48829	2176	23	0	0	0
A31	maxbin.001	3.09	0) really bad	96.54	18.69	30.37	Bacteroidales	order	0.666	Bacteroides uniformis	species	0.471	43933	6.73	37.7	409	198295	5585	56	1	5	2
A31	maxbin.002	59.81	2) medium quality	72.91	2.62	43.48	Bacteroidales	order	0.674	Bacteroides dorei CL02T00C15	strain	0.132	32259	3.78	28.09	220	132279	2978	26	0	0	0
