Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
A11	bin.4	98.6	3) high quality Nayfach	99.25	0.13	0	Bacteroidales	order	0.705	Bacteroides dorei CL03T12C01	strain	0.12	130087	5.2	85.67	75	516546	4284	61	0	0	1	TRUE	TRUE	TRUE	FALSE	62	34	18	2	1	0	0	0	5202446	5120728	4372919	3277574	853440	516546	0	0	0	75	5202446	70417	13	26	2.11	o__Bacteroidales (UID2654)	163	486	266	2	483	1	0	0	0
A11	maxbin.002_sub	33.07	2) medium quality	51.27	3.64	54.55	Bacteroides	genus	0.703	Bacteroides xylanisolvens	species	0.314	11913	3.3	39.14	477	71685	2418	11	0	1	0	TRUE	TRUE	FALSE	FALSE	87	2	0	0	0	0	0	0	3301767	1853017	121868	0	0	0	0	0	0	477	3301767	5622	69	169	282.27	g__Bacteroides (UID2691)	33	839	309	393	415	30	1	0	0
A11	unbinned	-4294.85	0) really bad	100	878.97	6.18	Bacteria	superkingdom	0.669	Bacteroides fragilis	species	0.101	4074	44.96	12.82	75075	86230	0	365	15	14	11	FALSE	FALSE	FALSE	FALSE	436	16	0	0	0	0	0	0	44958814	8695358	1061521	0	0	0	0	0	0	15558	27593025	967	1245	5255	12.25	root (UID1)	5656	56	24	0	0	1	1	1	53
A12	42	17.19	1) low quality	45.99	5.76	30.77	Candidatus Melainabacteria bacterium	species	0.774	Candidatus Melainabacteria bacterium	species	0.774	1640	0.91	8.08	561	8336	718	6	0	0	0	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	914321	0	0	0	0	0	0	0	0	561	914321	1244	196	357	6.56	k__Bacteria (UID1453)	901	171	117	79	79	13	0	0	0
A12	45	30.04	0) really bad	94.64	12.92	9.52	Faecalibacterium	genus	0.695	Faecalibacterium prausnitzii	species	0.439	2693	3.2	14.61	1405	18813	2992	46	0	0	0	FALSE	FALSE	FALSE	FALSE	10	0	0	0	0	0	0	0	3196956	122831	0	0	0	0	0	0	0	1405	3196956	1569	364	755	40.66	k__Bacteria (UID203)	5449	102	56	3	78	21	0	0	0
A12	6	90.47	2) medium quality	92.17	0.34	0	Ruminococcaceae bacterium	species	0.817	Ruminococcaceae bacterium	species	0.817	7156	1.78	14.74	330	32605	1608	24	0	0	0	TRUE	TRUE	FALSE	FALSE	43	0	0	0	0	0	0	0	1778911	617759	0	0	0	0	0	0	0	330	1778911	4322	76	156	29.23	o__Clostridiales (UID1212)	172	263	149	14	248	1	0	0	0
A12	bin.8	88.22	2) medium quality	88.22	0	0	Bacteroidales	order	0.67	uncultured Prevotellaceae bacterium	species	0.455	9503	2.19	14.88	276	43755	1663	26	0	0	0	TRUE	TRUE	FALSE	FALSE	68	0	0	0	0	0	0	0	2193553	1064749	0	0	0	0	0	0	0	276	2193553	6059	72	143	31.91	o__Bacteroidales (UID2657)	160	492	269	61	431	0	0	0	0
A12	unbinned	-16675	0) really bad	100	3355	5.33	Bacteria	superkingdom	0.664	Unclassified	Unclassified	0.244	1391	113.52	9.7	246224	98365	0	935	29	31	48	FALSE	FALSE	FALSE	FALSE	267	4	0	0	0	0	0	0	113520485	4295629	285710	0	0	0	0	0	0	46875	56641652	750	8828	23357	27.68	root (UID1)	5656	56	24	0	0	0	0	0	56
A13	22_sub	76.84	2) medium quality	81.14	0.86	0	Ruminococcaceae bacterium	species	0.874	Ruminococcaceae bacterium	species	0.874	2754	1.49	8.17	611	11975	1346	17	0	0	2	TRUE	TRUE	FALSE	FALSE	1	0	0	0	0	0	0	0	1493060	11975	0	0	0	0	0	0	0	611	1493060	1850	178	344	20.09	o__Clostridiales (UID1212)	172	263	149	44	211	8	0	0	0
A13	35_sub	45.79	2) medium quality	57.89	2.42	33.33	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.74	Unclassified	Unclassified	0.74	2123	1.22	8.12	606	12163	994	4	0	0	0	TRUE	TRUE	FALSE	FALSE	1	0	0	0	0	0	0	0	1215619	12163	0	0	0	0	0	0	0	606	1215619	1526	189	359	22.21	c__Clostridia (UID1118)	387	223	124	84	136	3	0	0	0
A13	40	48.76	2) medium quality	60.11	2.27	0	unclassified Akkermansia	no rank	0.776	unclassified Akkermansia	no rank	0.776	1900	1.77	6.35	981	7597	1851	15	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1771216	0	0	0	0	0	0	0	0	981	1771216	1369	327	602	22.02	k__Bacteria (UID2982)	88	229	147	84	141	4	0	0	0
A13	50_sub	44.01	1) low quality	49.96	1.19	0	Ruminococcaceae bacterium	species	0.696	Ruminococcaceae bacterium	species	0.696	1677	1.05	6.8	616	12303	814	4	0	0	0	TRUE	FALSE	FALSE	FALSE	1	0	0	0	0	0	0	0	1049391	12303	0	0	0	0	0	0	0	616	1049391	1305	211	388	22.87	o__Clostridiales (UID1212)	172	263	149	117	141	5	0	0	0
A13	7_sub	49.69	2) medium quality	54.84	1.03	0	Bacteria	superkingdom	0.675	Unclassified	Unclassified	0.423	2146	1.37	7.31	683	8818	1364	19	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1369198	0	0	0	0	0	0	0	0	683	1369198	1511	212	404	24.83	o__Rhodospirillales (UID3754)	63	336	201	131	201	4	0	0	0
A13	bin.11	96.31	3) high quality Nayfach	96.31	0	0	[Eubacterium] siraeum	species	0.902	[Eubacterium] siraeum V10Sc8a	strain	0.61	13107	2.36	18.61	237	58381	2037	21	0	0	0	TRUE	TRUE	TRUE	FALSE	78	1	0	0	0	0	0	0	2357201	1453909	58381	0	0	0	0	0	0	237	2357201	7423	55	115	44.12	o__Clostridiales (UID1212)	172	263	149	8	255	0	0	0	0
A13	bin.3	88.44	3) high quality Nayfach	91.94	0.7	0	Clostridiales bacterium	species	1	Clostridiales bacterium	species	1	43935	1.5	30.35	52	95615	1357	43	1	0	1	TRUE	TRUE	TRUE	FALSE	43	9	0	0	0	0	0	0	1496313	1450292	667628	0	0	0	0	0	0	52	1496313	21593	11	23	14.03	o__Clostridiales (UID1120)	304	250	143	19	230	1	0	0	0
A13	maxbin.002_sub	-87.1	0) really bad	85.85	34.59	64.56	Faecalibacterium	genus	0.701	Faecalibacterium prausnitzii	species	0.26	3533	3.27	20.06	1193	28014	2976	18	0	0	0	FALSE	FALSE	FALSE	FALSE	26	0	0	0	0	0	0	0	3265366	345256	0	0	0	0	0	0	0	1193	3265366	1860	263	587	21.13	o__Clostridiales (UID1212)	172	261	147	41	147	70	3	0	0
A13	maxbin.008	82.99	2) medium quality	89.14	1.23	50	Elusimicrobia	phylum	0.764	Elusimicrobia bacterium UBA5880	species	0.423	3897	1.53	9.57	503	30153	1482	38	0	0	0	TRUE	TRUE	FALSE	FALSE	13	0	0	0	0	0	0	0	1534077	202505	0	0	0	0	0	0	0	503	1534077	2203	113	246	36.5	k__Bacteria (UID2495)	2993	143	89	11	130	2	0	0	0
A13	unbinned	-24238.7	0) really bad	100	4867.74	3.05	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.275	1003	157.9	5.13	364724	66589	0	1401	55	53	54	FALSE	FALSE	FALSE	FALSE	222	1	0	0	0	0	0	0	157896633	3400711	66589	0	0	0	0	0	0	71927	72753105	678	18016	40390	19.02	root (UID1)	5656	56	24	0	0	0	0	1	55
A15	17	46.93	2) medium quality	56.68	1.95	0	Alistipes	genus	0.949	Alistipes sp. CAG:157	species	0.498	1825	1.24	7.17	699	8789	1205	11	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1243026	0	0	0	0	0	0	0	0	699	1243026	1386	239	436	28.16	p__Bacteroidetes (UID2605)	350	314	208	131	177	6	0	0	0
A15	26	-68.05	0) really bad	87.15	31.04	40.91	Alistipes	genus	0.665	Alistipes onderdonkii	species	0.256	3210	3.84	10.36	1440	21984	3276	29	0	0	1	FALSE	FALSE	FALSE	FALSE	33	0	0	0	0	0	0	0	3840964	401462	0	0	0	0	0	0	0	1440	3840964	1855	332	730	22.13	p__Bacteroidetes (UID2605)	350	314	208	42	190	79	3	0	0
A15	30	64.25	2) medium quality	69.1	0.97	25	Bacteroidales	order	0.674	Barnesiella intestinihominis	species	0.204	2388	2.2	8.48	997	9599	1777	14	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	2201513	0	0	0	0	0	0	0	0	997	2201513	1684	305	580	17.72	o__Bacteroidales (UID2617)	213	406	265	128	274	4	0	0	0
A15	43	95.38	3) high quality Nayfach	95.38	0	0	Bacteroidales	order	0.988	Bacteroidales bacterium H9	species	0.638	13767	2.4	19.98	226	48204	1943	31	0	0	0	TRUE	TRUE	TRUE	FALSE	99	0	0	0	0	0	0	0	2401782	1719171	0	0	0	0	0	0	0	226	2401782	9024	57	108	13.74	o__Bacteroidales (UID2617)	213	406	265	17	389	0	0	0	0
A15	49	80.46	2) medium quality	85.51	1.01	0	Ruminococcaceae bacterium	species	0.846	Ruminococcaceae bacterium	species	0.846	4048	1.61	10.8	500	23359	1412	9	0	0	0	TRUE	TRUE	FALSE	FALSE	11	0	0	0	0	0	0	0	1614606	156329	0	0	0	0	0	0	0	500	1614606	2420	120	250	12.39	o__Clostridiales (UID1212)	172	263	149	26	234	3	0	0	0
A15	bin.1	57.5	2) medium quality	69.55	2.41	80	Ruminococcaceae bacterium	species	0.886	Ruminococcaceae bacterium	species	0.886	4859	1.39	15.61	294	16025	1303	20	0	0	0	TRUE	TRUE	FALSE	FALSE	13	0	0	0	0	0	0	0	1391328	158725	0	0	0	0	0	0	0	294	1391328	3529	93	177	62.53	o__Clostridiales (UID1212)	172	263	149	73	185	5	0	0	0
A15	bin.9	46.79	2) medium quality	50.14	0.67	0	Oscillibacter sp.	species	0.805	Oscillibacter sp.	species	0.805	4309	0.99	10.7	235	13033	946	13	0	0	0	TRUE	TRUE	FALSE	FALSE	4	0	0	0	0	0	0	0	985115	45609	0	0	0	0	0	0	0	235	985115	3352	86	150	12.18	o__Clostridiales (UID1212)	172	263	149	132	130	1	0	0	0
A15	unbinned	-11833.15	0) really bad	100	2386.63	5.06	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.087	1347	100.9	8.3	196060	96131	0	822	25	23	36	FALSE	FALSE	FALSE	FALSE	485	5	0	0	0	0	0	0	100899051	8613350	323886	0	0	0	0	0	0	45651	56543348	759	7838	22368	19.29	root (UID1)	5656	56	24	0	0	0	0	1	55
A16	12_sub	60.06	2) medium quality	72.56	2.5	14.29	Clostridiaceae	family	0.769	Clostridiaceae bacterium	species	0.582	5728	2.61	10.69	521	21275	2403	11	0	0	0	TRUE	TRUE	FALSE	FALSE	28	0	0	0	0	0	0	0	2612994	384525	0	0	0	0	0	0	0	521	2612994	3922	153	292	19.14	f__Lachnospiraceae (UID1286)	57	420	207	112	301	7	0	0	0
A16	20	64.03	2) medium quality	71.88	1.57	60	Phascolarctobacterium succinatutens	species	0.675	Unclassified	Unclassified	0.634	2526	1.25	8.18	549	8213	1148	13	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1252224	0	0	0	0	0	0	0	0	549	1252224	1718	166	315	15.17	o__Selenomonadales (UID1024)	64	334	167	78	251	5	0	0	0
A16	maxbin.001	-186.73	0) really bad	90.17	55.38	92.16	Prevotella	genus	0.846	Prevotella sp. AM23-5	species	0.372	7742	5.83	86.13	1227	65955	4560	49	2	5	5	FALSE	FALSE	FALSE	FALSE	137	3	0	0	0	0	0	0	5828624	2373547	175003	0	0	0	0	0	0	1227	5828624	3466	200	486	166.76	k__Bacteria (UID203)	5449	104	58	9	50	33	4	7	1
A17	21	51.96	2) medium quality	55.51	0.71	0	Life	life	0.663	Unclassified	Unclassified	0.416	1932	1.26	7.03	683	7478	1305	29	1	2	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1261945	0	0	0	0	0	0	0	0	683	1261945	1430	227	417	21.4	k__Bacteria (UID2982)	88	230	148	92	136	2	0	0	0
A17	4	50.14	2) medium quality	60.39	2.05	44.44	Bacteroidales	order	0.761	Unclassified	Unclassified	0.332	2135	2.27	7.53	1118	7662	2011	28	0	2	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	2271729	0	0	0	0	0	0	0	0	1118	2271729	1538	350	664	25.53	p__Bacteroidetes (UID2605)	350	316	210	127	180	9	0	0	0
A17	bin.1	91.89	3) high quality Nayfach	93.34	0.29	33.33	Prevotella sp. Marseille-P4119	species	0.994	Prevotella sp. Marseille-P4119	species	0.994	15507	2.68	37.97	235	60180	2081	21	0	0	1	TRUE	TRUE	TRUE	FALSE	104	1	0	0	0	0	0	0	2681078	1928426	60180	0	0	0	0	0	0	235	2681078	9050	56	113	30.58	o__Bacteroidales (UID2716)	92	487	270	40	444	3	0	0	0
A17	bin.5	95.21	3) high quality Nayfach	96.11	0.18	50	Lachnospiraceae	family	0.682	uncultured Lachnospiraceae bacterium	species	0.391	14296	2.45	18.41	219	79786	2125	24	0	0	0	TRUE	TRUE	TRUE	FALSE	87	4	0	0	0	0	0	0	2448006	1730366	238328	0	0	0	0	0	0	219	2448006	8683	46	99	13.89	f__Lachnospiraceae (UID1286)	57	420	207	27	391	2	0	0	0
A17	unbinned	-9549.8	0) really bad	100	1929.96	8.42	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.164	1763	74.06	11.46	142737	78987	0	530	14	13	22	FALSE	FALSE	FALSE	FALSE	325	1	0	0	0	0	0	0	74063244	5263216	78987	0	0	0	0	0	0	30431	42091799	852	4915	13906	21.93	root (UID1)	5656	56	24	0	0	0	1	1	54
A18	1	89.35	3) high quality Nayfach	96	1.33	0	Life	life	0.666	Bacillales bacterium UBA7004	species	0.111	16927	1.72	41.46	156	57700	1580	35	0	0	0	TRUE	TRUE	TRUE	FALSE	59	2	0	0	0	0	0	0	1724862	1223735	111674	0	0	0	0	0	0	156	1724862	9293	32	67	28.99	k__Bacteria (UID2328)	3167	126	75	4	121	1	0	0	0
A18	39	92.15	3) high quality Nayfach	97.75	1.12	0	Firmicutes bacterium CAG:345	species	0.873	Firmicutes bacterium CAG:345	species	0.873	253516	1.88	102.02	53	485570	1734	48	0	0	0	TRUE	TRUE	TRUE	FALSE	18	8	5	3	0	0	0	0	1882493	1771998	1531149	1322255	997466	0	0	0	0	53	1882493	68998	3	7	10.62	k__Bacteria (UID2329)	174	149	89	2	146	1	0	0	0
A18	maxbin.003_sub	86.15	3) high quality Nayfach	94.35	1.64	0	Bacteria	superkingdom	0.719	Ruminococcaceae bacterium	species	0.219	137600	2.72	70.76	53	275429	2367	43	1	0	0	TRUE	TRUE	TRUE	FALSE	34	17	12	1	0	0	0	0	2724092	2669211	2249046	1861662	275429	0	0	0	0	53	2724092	89724	8	14	25.7	c__Clostridia (UID1118)	387	223	124	11	209	3	0	0	0
A18	maxbin.011_sub	-78.7	0) really bad	73.9	30.52	7.14	Bacteria	superkingdom	0.683	Enterococcus	genus	0.382	2336	2.77	8.14	1276	30072	2481	17	0	0	0	FALSE	FALSE	FALSE	FALSE	18	0	0	0	0	0	0	0	2769607	275288	0	0	0	0	0	0	0	1276	2769607	1492	323	705	40.8	o__Lactobacillales (UID544)	293	475	267	131	234	81	29	0	0
A18	unbinned	-2137.7	0) really bad	100	447.54	8.65	Life	life	0.665	Firmicutes bacterium CAG:449	species	0.25	12120	12.93	24.33	17071	176624	0	194	10	10	7	FALSE	FALSE	FALSE	FALSE	195	21	5	0	0	0	0	0	12931587	5268301	1667832	625220	0	0	0	0	0	3617	9631296	2326	154	583	48.49	k__Bacteria (UID203)	5449	104	58	0	0	1	3	19	81
A19	10	41.52	2) medium quality	75.17	6.73	7.69	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.224	2325	1.64	9.64	770	7478	1718	14	0	0	0	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1635330	0	0	0	0	0	0	0	0	770	1635330	1577	233	447	1.22	c__Clostridia (UID1118)	387	223	124	51	159	13	0	0	0
A19	23	48.53	2) medium quality	52.13	0.72	0	Clostridiales bacterium	species	0.959	Clostridiales bacterium	species	0.959	1942	0.95	9.02	503	12317	872	10	0	0	0	TRUE	TRUE	FALSE	FALSE	1	0	0	0	0	0	0	0	947201	12317	0	0	0	0	0	0	0	503	947201	1421	160	302	4.22	o__Clostridiales (UID1120)	304	250	143	104	143	3	0	0	0
A19	52	46.1	2) medium quality	50.55	0.89	50	Clostridia	class	0.675	Unclassified	Unclassified	0.522	1922	1.03	8.99	559	6837	1035	9	0	0	2	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	1029111	0	0	0	0	0	0	0	0	559	1029111	1416	191	345	0	o__Clostridiales (UID1212)	172	263	149	121	140	2	0	0	0
A19	9	42.17	1) low quality	43.72	0.31	0	Sutterella	genus	0.682	Sutterella sp. UBA4713	species	0.263	1641	0.79	7.16	490	4907	739	20	0	1	1	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	790902	0	0	0	0	0	0	0	0	490	790902	1267	176	315	3.79	p__Proteobacteria (UID3887)	1487	256	160	143	112	1	0	0	0
A19	bin.10	80.79	2) medium quality	82.14	0.27	66.67	[Eubacterium] siraeum DSM 15702	strain	0.712	[Eubacterium] siraeum DSM 15702	strain	0.712	6500	1.91	16.31	324	23607	1607	8	0	0	0	TRUE	TRUE	FALSE	FALSE	38	0	0	0	0	0	0	0	1909576	513655	0	0	0	0	0	0	0	324	1909576	4367	94	183	26.71	o__Clostridiales (UID1212)	172	263	149	42	218	3	0	0	0
A19	bin.12	88.26	3) high quality Nayfach	91.61	0.67	0	Lachnospiraceae bacterium UBA4631	species	0.716	Unclassified	Unclassified	0.382	12646	2.3	21.87	236	48201	2015	25	0	0	0	TRUE	TRUE	TRUE	FALSE	71	0	0	0	0	0	0	0	2297039	1345440	0	0	0	0	0	0	0	236	2297039	7453	54	114	49.19	o__Clostridiales (UID1212)	172	263	149	19	243	1	0	0	0
A19	bin.16	85.91	2) medium quality	85.91	0	0	Clostridiales	order	0.711	Ruminococcaceae bacterium	species	0.482	14077	2.38	21.47	224	37117	2158	28	0	0	2	TRUE	TRUE	FALSE	FALSE	91	0	0	0	0	0	0	0	2379584	1584075	0	0	0	0	0	0	0	224	2379584	8502	58	113	34.04	o__Clostridiales (UID1212)	172	263	149	26	237	0	0	0	0
A19	bin.18	94.28	3) high quality Nayfach	95.98	0.34	0	Clostridium sp. CAG:413	species	0.999	Clostridium sp. CAG:413	species	0.999	24940	2.08	26.76	123	89977	1828	31	0	0	0	TRUE	TRUE	TRUE	FALSE	65	7	0	0	0	0	0	0	2080951	1700390	429799	0	0	0	0	0	0	123	2080951	13300	25	54	24.03	o__Clostridiales (UID1212)	172	263	149	10	252	1	0	0	0
A19	bin.19	90.51	3) high quality Nayfach	97.21	1.34	0	Clostridiales	order	0.738	Clostridiales bacterium UBA5901	species	0.235	26029	2.09	42.05	117	87504	1891	36	0	0	2	TRUE	TRUE	TRUE	FALSE	68	6	0	0	0	0	0	0	2093533	1853382	377089	0	0	0	0	0	0	117	2093533	18353	25	50	14.33	o__Clostridiales (UID1212)	172	263	149	9	252	2	0	0	0
A19	bin.3	83.41	2) medium quality	87.46	0.81	100	uncultured Clostridiales bacterium	species	0.798	uncultured Clostridiales bacterium	species	0.798	15069	1.57	28.69	145	51509	1493	26	0	0	0	TRUE	TRUE	FALSE	FALSE	55	1	0	0	0	0	0	0	1569656	1061985	51509	0	0	0	0	0	0	145	1569656	8648	33	68	242.09	o__Clostridiales (UID1212)	172	263	149	28	233	2	0	0	0
A19	bin.4	83.58	3) high quality Nayfach	95.08	2.3	33.33	Alistipes sp. CAG:514	species	0.723	Unclassified	Unclassified	0.433	80956	3.61	89.29	68	186522	2824	44	0	0	0	TRUE	TRUE	TRUE	FALSE	62	28	10	0	0	0	0	0	3607816	3564935	2608319	1327002	0	0	0	0	0	68	3607816	48935	16	30	97.01	p__Bacteroidetes (UID2605)	350	316	210	12	298	6	0	0	0
A19	bin.6	85.7	3) high quality Nayfach	93.75	1.61	66.67	Christensenellaceae bacterium Phil1	species	0.969	Christensenellaceae bacterium Phil1	species	0.969	13442	2.01	23.55	208	54016	1911	33	0	0	0	TRUE	TRUE	TRUE	FALSE	72	1	0	0	0	0	0	0	2012481	1246486	54016	0	0	0	0	0	0	208	2012481	7607	51	103	134.16	c__Clostridia (UID1118)	387	223	124	11	209	3	0	0	0
